connection_id,passenger_id,inbound_flight_id,onward_flight_id,minimum_connection_minutes
CON0001,PAX00001,FL0021,FL0010,45
CON0002,PAX00002,FL0019,FL0002,45
CON0003,PAX00003,FL0006,FL0029,75
CON0004,PAX00004,FL0008,FL0012,60
CON0005,PAX00005,FL0039,FL0029,60
CON0006,PAX00006,FL0004,FL0008,60
CON0007,PAX00007,FL0001,FL0029,45
CON0008,PAX00008,FL0002,FL0007,45
CON0009,PAX00009,FL0032,FL0001,90
CON0010,PAX00010,FL0024,FL0010,45
CON0011,PAX00011,FL0019,FL0031,45
CON0012,PAX00012,FL0015,FL0040,45
CON0013,PAX00013,FL0036,FL0007,60
CON0014,PAX00014,FL0033,FL0027,60
CON0015,PAX00015,FL0023,FL0016,45
CON0016,PAX00016,FL0012,FL0016,60
CON0017,PAX00017,FL0032,FL0006,90
CON0018,PAX00018,FL0008,FL0014,60
CON0019,PAX00019,FL0008,FL0036,90
CON0020,PAX00020,FL0029,FL0024,75
CON0021,PAX00021,FL0032,FL0014,45
CON0022,PAX00022,FL0020,FL0013,60
CON0023,PAX00023,FL0039,FL0023,90
CON0024,PAX00024,FL0006,FL0009,75
CON0025,PAX00025,FL0018,FL0027,75
CON0026,PAX00026,FL0028,FL0016,60
CON0027,PAX00027,FL0038,FL0035,60
CON0028,PAX00028,FL0006,FL0021,75
CON0029,PAX00029,FL0038,FL0027,45
CON0030,PAX00030,FL0019,FL0001,45
CON0031,PAX00031,FL0001,FL0009,90
CON0032,PAX00032,FL0001,FL0020,45
CON0033,PAX00033,FL0031,FL0034,75
CON0034,PAX00034,FL0028,FL0024,75
CON0035,PAX00035,FL0003,FL0007,75
CON0036,PAX00036,FL0031,FL0034,45
CON0037,PAX00037,FL0033,FL0040,90
CON0038,PAX00038,FL0031,FL0024,45
CON0039,PAX00039,FL0009,FL0005,90
CON0040,PAX00040,FL0023,FL0034,45
CON0041,PAX00041,FL0002,FL0028,75
CON0042,PAX00042,FL0008,FL0006,75
CON0043,PAX00043,FL0034,FL0035,60
CON0044,PAX00044,FL0021,FL0033,45
CON0045,PAX00045,FL0025,FL0010,45
CON0046,PAX00046,FL0019,FL0001,60
CON0047,PAX00047,FL0038,FL0027,75
CON0048,PAX00048,FL0019,FL0031,45
CON0049,PAX00049,FL0028,FL0016,60
CON0050,PAX00050,FL0008,FL0039,45
CON0051,PAX00051,FL0015,FL0040,90
CON0052,PAX00052,FL0013,FL0016,75
CON0053,PAX00053,FL0007,FL0013,90
CON0054,PAX00054,FL0028,FL0034,75
CON0055,PAX00055,FL0040,FL0032,60
CON0056,PAX00056,FL0014,FL0013,75
CON0057,PAX00057,FL0015,FL0040,75
CON0058,PAX00058,FL0001,FL0004,60
CON0059,PAX00059,FL0018,FL0019,75
CON0060,PAX00060,FL0035,FL0013,45
CON0061,PAX00061,FL0003,FL0007,60
CON0062,PAX00062,FL0023,FL0016,60
CON0063,PAX00063,FL0036,FL0029,60
CON0064,PAX00064,FL0010,FL0006,90
CON0065,PAX00065,FL0033,FL0008,90
CON0066,PAX00066,FL0028,FL0016,75
CON0067,PAX00067,FL0019,FL0001,60
CON0068,PAX00068,FL0015,FL0040,75
CON0069,PAX00069,FL0012,FL0024,45
CON0070,PAX00070,FL0010,FL0031,60
CON0071,PAX00071,FL0024,FL0038,45
CON0072,PAX00072,FL0019,FL0001,75
CON0073,PAX00073,FL0011,FL0010,90
CON0074,PAX00074,FL0031,FL0034,75
CON0075,PAX00075,FL0020,FL0010,45
CON0076,PAX00076,FL0040,FL0024,60
CON0077,PAX00077,FL0002,FL0028,75
CON0078,PAX00078,FL0009,FL0037,60
CON0079,PAX00079,FL0029,FL0034,90
CON0080,PAX00080,FL0026,FL0015,90
