flight_id,airline,origin,destination,scheduled_arrival,actual_arrival,scheduled_departure,delay_minutes,status
FL0001,AEROX,FIC,ZPR,2026-10-01 20:49:00,2026-10-01 20:49:00,2026-10-01 18:39:00,0,ON_TIME
FL0002,SKYX,FIC,ZPR,2026-10-01 18:52:00,2026-10-01 18:52:00,2026-10-01 16:04:00,0,ON_TIME
FL0003,AEROX,NXA,ZPR,2026-10-01 18:11:00,2026-10-01 18:11:00,2026-10-01 14:37:00,0,ON_TIME
FL0004,SKYX,ZPR,VLM,2026-10-01 12:39:00,2026-10-01 12:39:00,2026-10-01 09:45:00,0,ON_TIME
FL0005,FLYN,NXA,VLM,2026-10-01 13:59:00,2026-10-01 13:59:00,2026-10-01 11:48:00,0,ON_TIME
FL0006,FLYN,FIC,ZPR,2026-10-01 13:53:00,2026-10-01 13:53:00,2026-10-01 12:29:00,0,ON_TIME
FL0007,SKYX,ZPR,QRT,2026-10-01 20:57:00,2026-10-01 23:29:00,2026-10-01 19:46:00,152,DELAYED
FL0008,FLYN,VLM,FIC,2026-10-01 17:40:00,2026-10-01 20:33:00,2026-10-01 15:25:00,173,DELAYED
FL0009,AEROX,ZPR,NXA,2026-10-01 19:18:00,2026-10-01 19:18:00,2026-10-01 18:01:00,0,ON_TIME
FL0010,FLYN,QRT,FIC,2026-10-01 22:34:00,2026-10-02 00:26:00,2026-10-01 20:35:00,112,DELAYED
FL0011,FLYN,VLM,QRT,2026-10-01 11:20:00,2026-10-01 11:20:00,2026-10-01 08:46:00,0,ON_TIME
FL0012,NOVAIR,FIC,NXA,2026-10-01 17:08:00,2026-10-01 17:08:00,2026-10-01 15:06:00,0,ON_TIME
FL0013,AEROX,QRT,NXA,2026-10-01 20:04:00,2026-10-01 20:33:00,2026-10-01 17:41:00,29,DELAYED
FL0014,FLYN,FIC,QRT,2026-10-01 14:58:00,2026-10-01 14:58:00,2026-10-01 12:50:00,0,ON_TIME
FL0015,FLYN,NXA,VLM,2026-10-01 16:29:00,2026-10-01 16:29:00,2026-10-01 12:45:00,0,ON_TIME
FL0016,NOVAIR,NXA,ZPR,2026-10-01 22:05:00,2026-10-01 22:05:00,2026-10-01 18:42:00,0,ON_TIME
FL0017,AEROX,ZPR,VLM,2026-10-01 14:06:00,,2026-10-01 12:10:00,0,CANCELLED
FL0018,AEROX,ZPR,VLM,2026-10-01 08:45:00,2026-10-01 09:39:00,2026-10-01 07:33:00,54,DELAYED
FL0019,NOVAIR,VLM,FIC,2026-10-01 15:11:00,2026-10-01 15:11:00,2026-10-01 12:34:00,0,ON_TIME
FL0020,SKYX,ZPR,QRT,2026-10-01 16:28:00,2026-10-01 16:28:00,2026-10-01 15:26:00,0,ON_TIME
FL0021,FLYN,ZPR,QRT,2026-10-01 22:51:00,2026-10-01 22:51:00,2026-10-01 19:07:00,0,ON_TIME
FL0022,FLYN,VLM,NXA,2026-10-01 14:44:00,,2026-10-01 13:44:00,0,CANCELLED
FL0023,AEROX,ZPR,NXA,2026-10-01 16:06:00,2026-10-01 17:37:00,2026-10-01 14:39:00,91,DELAYED
FL0024,SKYX,NXA,QRT,2026-10-01 20:41:00,2026-10-01 20:41:00,2026-10-01 19:00:00,0,ON_TIME
FL0025,FLYN,ZPR,QRT,2026-10-01 15:24:00,2026-10-01 15:24:00,2026-10-01 14:20:00,0,ON_TIME
FL0026,SKYX,QRT,NXA,2026-10-01 09:00:00,2026-10-01 09:35:00,2026-10-01 06:59:00,35,DELAYED
FL0027,NOVAIR,VLM,FIC,2026-10-01 22:14:00,2026-10-01 23:01:00,2026-10-01 18:58:00,47,DELAYED
FL0028,AEROX,ZPR,NXA,2026-10-01 13:46:00,2026-10-01 15:49:00,2026-10-01 10:31:00,123,DELAYED
FL0029,FLYN,ZPR,NXA,2026-10-01 20:29:00,2026-10-01 20:29:00,2026-10-01 18:10:00,0,ON_TIME
FL0030,FLYN,VLM,ZPR,2026-10-01 10:06:00,2026-10-01 10:06:00,2026-10-01 08:03:00,0,ON_TIME
FL0031,SKYX,FIC,NXA,2026-10-01 17:58:00,2026-10-01 17:58:00,2026-10-01 16:02:00,0,ON_TIME
FL0032,AEROX,NXA,FIC,2026-10-01 08:56:00,2026-10-01 08:56:00,2026-10-01 06:32:00,0,ON_TIME
FL0033,NOVAIR,QRT,VLM,2026-10-01 12:57:00,2026-10-01 12:57:00,2026-10-01 09:39:00,0,ON_TIME
FL0034,SKYX,NXA,VLM,2026-10-01 22:30:00,2026-10-01 22:30:00,2026-10-01 19:46:00,0,ON_TIME
FL0035,SKYX,VLM,QRT,2026-10-01 15:58:00,2026-10-01 15:58:00,2026-10-01 13:13:00,0,ON_TIME
FL0036,AEROX,FIC,ZPR,2026-10-01 15:18:00,2026-10-01 16:00:00,2026-10-01 12:52:00,42,DELAYED
FL0037,AEROX,NXA,ZPR,2026-10-01 18:03:00,2026-10-01 18:03:00,2026-10-01 15:09:00,0,ON_TIME
FL0038,SKYX,QRT,VLM,2026-10-01 11:34:00,2026-10-01 11:34:00,2026-10-01 10:15:00,0,ON_TIME
FL0039,NOVAIR,FIC,ZPR,2026-10-01 09:35:00,2026-10-01 09:35:00,2026-10-01 07:35:00,0,ON_TIME
FL0040,NOVAIR,VLM,NXA,2026-10-01 23:27:00,2026-10-02 00:24:00,2026-10-01 20:45:00,57,DELAYED
